country,date,movility_reduction,deaths,pop,pct,movility_in_t_minus_23
Iraq,2020-03-06,2.0,3,36004552,0.5,
Iraq,2020-03-07,2.2857142857142856,4,36004552,0.33333333333333326,
Iraq,2020-03-08,2.5714285714285716,6,36004552,0.5,
Iraq,2020-03-09,2.857142857142857,6,36004552,0.0,0.0
Iraq,2020-03-10,3.142857142857143,7,36004552,0.16666666666666674,0.0
Iraq,2020-03-11,3.5714285714285716,7,36004552,0.0,-0.3333333333333333
Iraq,2020-03-12,3.857142857142857,8,36004552,0.1428571428571428,-0.5
Iraq,2020-03-13,4.285714285714286,9,36004552,0.125,-0.4
Iraq,2020-03-14,4.857142857142857,10,36004552,0.11111111111111116,-0.16666666666666666
Iraq,2020-03-15,5.714285714285714,10,36004552,0.0,-0.14285714285714285
Iraq,2020-03-16,6.428571428571429,10,36004552,0.0,-0.14285714285714285
Iraq,2020-03-17,7.142857142857143,11,36004552,0.10000000000000009,-0.14285714285714285
Iraq,2020-03-18,8.714285714285714,12,36004552,0.09090909090909083,-0.14285714285714285
Iraq,2020-03-19,10.571428571428571,13,36004552,0.08333333333333326,0.14285714285714285
Iraq,2020-03-20,12.0,17,36004552,0.3076923076923077,0.2857142857142857
Iraq,2020-03-21,13.428571428571429,17,36004552,0.0,0.5714285714285714
Iraq,2020-03-22,14.857142857142858,20,36004552,0.17647058823529416,0.7142857142857143
Iraq,2020-03-23,16.285714285714285,23,36004552,0.1499999999999999,0.8571428571428571
Iraq,2020-03-24,17.857142857142858,27,36004552,0.17391304347826098,1.1428571428571428
Iraq,2020-03-25,18.428571428571427,29,36004552,0.07407407407407418,1.5714285714285714
Iraq,2020-03-26,19.0,36,36004552,0.24137931034482762,1.7142857142857142
Iraq,2020-03-27,19.428571428571427,40,36004552,0.11111111111111116,1.8571428571428572
Iraq,2020-03-28,19.714285714285715,42,36004552,0.050000000000000044,2.0
Iraq,2020-03-29,19.857142857142858,42,36004552,0.0,2.0
Iraq,2020-03-30,20.0,46,36004552,0.09523809523809534,2.2857142857142856
Iraq,2020-03-31,19.857142857142858,50,36004552,0.08695652173913038,2.5714285714285716
Iraq,2020-04-01,19.714285714285715,52,36004552,0.040000000000000036,2.857142857142857
Iraq,2020-04-02,19.571428571428573,54,36004552,0.03846153846153855,3.142857142857143
Iraq,2020-04-03,19.285714285714285,54,36004552,0.0,3.5714285714285716
Iraq,2020-04-04,19.142857142857142,56,36004552,0.03703703703703698,3.857142857142857
Iraq,2020-04-05,19.142857142857142,61,36004552,0.08928571428571419,4.285714285714286
Iraq,2020-04-06,19.142857142857142,64,36004552,0.049180327868852514,4.857142857142857
Iraq,2020-04-07,19.142857142857142,65,36004552,0.015625,5.714285714285714
Iraq,2020-04-08,19.142857142857142,69,36004552,0.06153846153846154,6.428571428571429
Iraq,2020-04-09,19.142857142857142,69,36004552,0.0,7.142857142857143
Iraq,2020-04-10,19.285714285714285,70,36004552,0.01449275362318847,8.714285714285714
Iraq,2020-04-11,19.142857142857142,72,36004552,0.02857142857142847,10.571428571428571
Iraq,2020-04-12,18.857142857142858,76,36004552,0.05555555555555558,12.0
Iraq,2020-04-13,18.571428571428573,78,36004552,0.026315789473684292,13.428571428571429
Iraq,2020-04-14,18.428571428571427,78,36004552,0.0,14.857142857142858
Iraq,2020-04-15,18.285714285714285,79,36004552,0.012820512820512775,16.285714285714285
Iraq,2020-04-16,18.0,80,36004552,0.012658227848101333,17.857142857142858
Iraq,2020-04-17,17.714285714285715,81,36004552,0.012499999999999956,18.428571428571427
Iraq,2020-04-18,17.428571428571427,82,36004552,0.012345679012345734,19.0
Iraq,2020-04-19,17.0,82,36004552,0.0,19.428571428571427
Iraq,2020-04-20,16.571428571428573,82,36004552,0.0,19.714285714285715
Iraq,2020-04-21,15.714285714285714,83,36004552,0.012195121951219523,19.857142857142858
Iraq,2020-04-22,14.714285714285714,83,36004552,0.0,20.0
Iraq,2020-04-23,13.714285714285714,83,36004552,0.0,19.857142857142858
Iraq,2020-04-24,13.857142857142858,86,36004552,0.03614457831325302,19.714285714285715
Iraq,2020-04-25,14.142857142857142,86,36004552,0.0,19.571428571428573
Iraq,2020-04-26,14.0,87,36004552,0.011627906976744207,19.285714285714285
Iraq,2020-04-27,13.857142857142858,88,36004552,0.011494252873563315,19.142857142857142
Iraq,2020-04-28,13.857142857142858,90,36004552,0.022727272727272707,19.142857142857142
Iraq,2020-04-29,14.285714285714286,92,36004552,0.022222222222222143,19.142857142857142
Iraq,2020-04-30,14.714285714285714,93,36004552,0.010869565217391353,19.142857142857142
Iraq,2020-05-01,14.571428571428571,94,36004552,0.010752688172043001,19.142857142857142
Iraq,2020-05-02,14.285714285714286,95,36004552,0.010638297872340496,19.142857142857142
Italy,2020-02-15,-1.0,0,60769102,,
Italy,2020-02-16,-1.5,0,60769102,,
Italy,2020-02-17,-1.0,0,60769102,,
Italy,2020-02-18,-0.75,0,60769102,,
Italy,2020-02-19,-0.6,0,60769102,,
Italy,2020-02-20,-0.5,0,60769102,,
Italy,2020-02-21,-0.5714285714285714,1,60769102,inf,
Italy,2020-02-22,-0.5714285714285714,2,60769102,1.0,
Italy,2020-02-23,-0.2857142857142857,3,60769102,0.5,
Italy,2020-02-24,0.2857142857142857,7,60769102,1.3333333333333335,
Italy,2020-02-25,1.0,10,60769102,0.4285714285714286,
